Nome;Azienda;Ruolo/Fonte;Link_Fonte_Pubblica;Contatto_Pubblico
Marina Farioli;Consulente indipendente;Relatrice webinar "RENTRI e classificazione rifiuti";https://www.youtube.com/;
Paolo Fontana;Ingegnere;Relatore webinar "RENTRI e la Gestione Digitale dei Rifiuti";https://www.youtube.com/;
Walter De Tomasi;Bestinfo Srl;Amministratore e Formatore;https://www.bestinfosrl.it/;info@bestinfosrl.it
Christian Nicoluzzi;Consulente;Formatore e consulente sicurezza e ambiente;https://www.bestinfosrl.it/;
Giancarlo Farina;Arianna Ambiente;Coordinatore tecnico settore rifiuti;https://www.youtube.com/;
Enrico Agostini;Computer Solutions S.p.a;CEO;https://www.youtube.com/;
Alice Oprandi;SAEF;Consulente tecnico;https://www.youtube.com/;
Sandra Manganotti;Arianna Ambiente;Responsabile settore intermediazione rifiuti;https://www.youtube.com/;
Luca Moretti;GREENEXT Technologies SpA;AD;https://www.youtube.com/;
Marco Barletta;TeamSystem;Head of Market Management, BU Enterprise Solutions;https://www.teamsystem.com/waste;
Claudia Gaschi;GREENEXT - TeamSystem Company;Sales Director;https://www.teamsystem.com/waste;
Ottavio Sgariglia;Wolters Kluwer;Esperto;https://www.youtube.com/;
Chiara Fiore;Ambiente Legale STA;Avvocato;https://www.youtube.com/;
Tiziana Cefis;Te.A. Consulting S.r.l.;Consulente Ambientale;https://www.youtube.com/;
Giovanni Paone;NICA S.r.l. - Gruppo Zucchetti;A.U.;https://www.youtube.com/;
Diego Moretti;Consulente indipendente;Ingegnere, Consulente Ambientale;https://www.consulenza-rifiuti.it/;
Carmela Pizzutilo;Ambiente & Rifiuti;Consulente CONAI;https://www.ambiente-rifiuti.com/;
Stefano Palmisano;Studio Legale Palmisano;Avvocato Ambientale;https://www.avvstefanopalmisano.it/;
Paola Ficco;ReteAmbiente Formazione;Coordinatrice Scientifica, Giurista Ambientale;https://www.reteambienteformazione.it/;
Daniele Bagon;Albo Gestori Ambientali Liguria;Segretario;https://www.reteambienteformazione.it/;
Nicole Vaccari;Tecnoacademy;Docente corso gestione rifiuti;https://www.tecnoacademy.it/;
Alessandro Laschi;SEN Sistemi;Fondatore, Esperto normative ambientali;https://www.sen-sistemi.eu/;
- Team di Consulenza;A&A Consulenza;Consulenza ISO 14001;https://www.aeaconsulenza.it/;
- Team di Consulenza;FGR Consulting;Consulenza ISO 14001;https://www.fgrconsulting.net/;
- Team di Consulenza;Studio Green Solution;Consulenza ISO 14001;https://www.greensolution.it/;
- Team di Consulenza;Secogest srl;Consulenza ISO 14001;https://www.secogestsrl.com/;
- Team di Consulenza;Frareg;Consulenza ISO 14001;https://www.frareg.com/;
- Team di Consulenza;Greenta;Consulenza ADR Rifiuti Pericolosi;https://www.greenta.org/;
- Team di Consulenza;Argon Ambiente;Consulenza ADR;https://www.argonambiente.it/;
- Team di Consulenza;Gruppo Maurizi;Consulenza ADR e Ambientale;https://www.gruppomaurizi.it/;
- Team di Consulenza;METHA Consulting;Consulenza ADR;https://www.methaconsulting.it/;
- Team di Consulenza;HS GROUP;Consulenza Ambientale;https://www.hsgroupsrl.com/;
- Team di Consulenza;Ramboll;Consulenza Ambientale;https://www.ramboll.com/;
- Team di Consulenza;SOGESA Consulting S.r.l.;Consulenza Sostenibilità;https://www.sogesaconsulting.com/;
- Team di Consulenza;ERM;Consulenza Ambientale;https://www.erm.com/;
- Team di Consulenza;Ambiente Italia S.r.l.;Consulenza Ambientale;https://www.ambienteitalia.it/;
- Team di Consulenza;Zanetti Arturo;Servizi Consulenza RENTRI;https://www.zanettiarturo.com/;
- Team di Consulenza;E.R Services Group;Servizi Consulenza RENTRI;https://www.ersg.it/;
- Team di Consulenza;ECOALP SRL;Servizi Consulenza RENTRI;https://www.ecoalp.it/;
- Team di Consulenza;AIESiL;Associazione Esperti Sicurezza Lavoro Ambiente;https://www.aiesil.it/;
- Team di Consulenza;AiFOS;Associazione Italiana Formatori Sicurezza sul Lavoro;https://www.aifos.org/;
