ID,Nome,Tipo,Priorità,Regione,LinkedIn,Email,Sito,Contacted,Data,Canale,Risposta,Data Risp,Demo,Data Demo,Trial,Cliente,MRR,Note
001,Ing. Diego Moretti,Individuale,⭐⭐⭐,Nazionale,DA CERCARE,info@consulenza-rifiuti.it,www.consulenza-rifiuti.it,,,,,,,,,,,RT Albo Gestori cat 1-4-5-8 | 20-40 clienti stimati
002,Prof. Stefano Maglia,Influencer,⭐⭐⭐,Nazionale,DA CERCARE,info@tuttoambiente.it,www.tuttoambiente.it,,,,,,,,,,,TuttoAmbiente | 100-200 clienti | Content creator
003,Valli Gestioni Ambientali,Studio Grande,⭐⭐⭐,Lombardia,DA CERCARE,info@valliambiente.it,www.valliambiente.it,,,,,,,,,,,Bergamo | 100-200 clienti
004,ESAL S.r.l.,Studio Grande,⭐⭐⭐,Lombardia,DA CERCARE,info@esalsrl.it,www.esalsrl.it,,,,,,,,,,,Brescia | 46 anni esperienza | 80-150 clienti
005,Proteko,Studio Grande,⭐⭐⭐,Multi-regione,DA CERCARE,info@proteko.it,www.proteko.it,,,,,,,,,,,Multi-sede MI-BG-VR-VI | 100+ clienti
006,TEA Consulting,Studio Medio,⭐⭐⭐,Lombardia,DA CERCARE,info@teaconsulting.it,www.teaconsulting.it,,,,,,,,,,,Milano | 50-80 clienti stimati
007,SEN Sistemi,Studio Medio,⭐⭐⭐,Veneto,DA CERCARE,info@sensistemi.it,www.sensistemi.it,,,,,,,,,,,Verona | 40-70 clienti
008,Studio Ambientale Monza,Studio Medio,⭐⭐,Lombardia,DA CERCARE,info@studioambientalemonza.it,DA TROVARE,,,,,,,,,,,Monza | 30-50 clienti stimati
009,EcoGestioni,Studio Medio,⭐⭐,Piemonte,DA CERCARE,info@ecogestioni.it,DA TROVARE,,,,,,,,,,,Torino | 30-60 clienti
010,Ambiente Plus,Studio Medio,⭐⭐,Veneto,DA CERCARE,info@ambienteplus.it,DA TROVARE,,,,,,,,,,,Padova | 25-50 clienti
011,,,,,,,,,,,,,,,,,,
012,,,,,,,,,,,,,,,,,,
013,,,,,,,,,,,,,,,,,,
014,,,,,,,,,,,,,,,,,,
015,,,,,,,,,,,,,,,,,,
016,,,,,,,,,,,,,,,,,,
017,,,,,,,,,,,,,,,,,,
018,,,,,,,,,,,,,,,,,,
019,,,,,,,,,,,,,,,,,,
020,,,,,,,,,,,,,,,,,,
